City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bubaque,GW,11.2833,-15.8333,79.68,79,10,16.87,clear sky
80,Yuxia,CN,34.0615,108.6291,81.21,66,2,5.1,clear sky
81,Olinda,BR,-8.0089,-34.8553,80.33,74,40,11.5,scattered clouds
82,Bredasdorp,ZA,-34.5322,20.0403,46.65,71,4,3.4,clear sky
83,Puerto Leguizamo,CO,-0.1934,-74.7819,90.32,50,60,0.89,broken clouds
84,Prince Rupert,CA,54.3161,-130.3201,59.09,96,100,5.75,overcast clouds
85,Kirakira,SB,-10.4544,161.9205,78.15,86,25,10.36,scattered clouds
86,Mahibadhoo,MV,3.7833,72.9667,78.01,86,100,32.01,light rain
87,Sao Felix Do Xingu,BR,-6.6447,-51.995,91.74,38,40,0.78,scattered clouds
88,Barrow,US,71.2906,-156.7887,38.35,87,63,6.31,broken clouds
89,Cap Malheureux,MU,-19.9842,57.6142,71.47,69,12,7.0,few clouds
90,Tiznit,MA,29.5833,-9.5,88.66,33,7,4.81,clear sky
91,Butaritari,KI,3.0707,172.7902,81.19,77,41,15.23,scattered clouds
92,Bethel,US,41.3712,-73.414,86.04,52,0,5.75,clear sky
93,Kurmanayevka,RU,52.5093,52.0675,69.42,58,100,6.51,overcast clouds
94,Vanimo,PG,-2.6741,141.3028,78.22,87,47,5.53,scattered clouds
95,Torbay,CA,47.6666,-52.7314,76.87,64,40,21.85,scattered clouds
96,Clyde River,CA,70.4692,-68.5914,37.63,93,100,6.91,fog
97,Mason City,US,43.1536,-93.201,82.65,62,20,12.66,few clouds
98,Neepawa,CA,50.2289,-99.4664,66.6,95,100,13.0,overcast clouds
99,Hinganghat,IN,20.5667,78.8333,82.98,76,100,4.72,overcast clouds
100,Berlevag,NO,70.8578,29.0864,58.8,82,40,3.44,scattered clouds
101,Leningradskiy,RU,69.3833,178.4167,48.47,66,11,5.12,few clouds
102,Emba,KZ,48.8264,58.1442,75.34,43,42,7.29,scattered clouds
103,Severo-Kurilsk,RU,50.6789,156.125,52.03,91,60,10.54,broken clouds
104,Ayan,RU,56.45,138.1667,56.8,98,100,4.45,overcast clouds
105,Timaru,NZ,-44.4,171.25,37.08,78,1,3.0,clear sky
106,Pinawa,CA,50.1489,-95.8811,65.16,96,100,3.53,overcast clouds
107,Shingu,JP,33.7333,135.9833,76.57,88,58,4.83,broken clouds
108,Alice Springs,AU,-23.7,133.8833,45.95,53,2,1.14,clear sky
109,Gua Musang,MY,4.8823,101.9644,73.96,98,94,1.54,overcast clouds
110,Tairua,NZ,-37.0167,175.85,49.51,81,3,9.48,clear sky
111,Dunedin,NZ,-45.8742,170.5036,43.81,69,35,6.46,scattered clouds
112,Seoul,KR,37.5683,126.9778,78.4,94,100,4.61,light rain
113,Georgetown,MY,5.4112,100.3354,84.13,88,20,0.0,light rain
114,Cherskiy,RU,68.75,161.3,56.32,55,45,12.8,scattered clouds
115,Khani,GE,41.9563,42.9566,69.37,95,3,1.57,clear sky
116,Maniitsoq,GL,65.4167,-52.9,42.46,92,98,6.58,overcast clouds
117,Salalah,OM,17.0151,54.0924,78.89,89,75,9.22,broken clouds
118,Sungaipenuh,ID,-2.0833,101.3833,64.78,96,76,2.3,broken clouds
119,Beipiao,CN,41.7919,120.7792,71.33,94,1,4.23,clear sky
120,Hilo,US,19.7297,-155.09,78.53,79,100,8.05,overcast clouds
121,Sambek,RU,47.7431,39.8308,85.28,36,66,10.69,broken clouds
122,Umea,SE,63.8284,20.2597,64.33,82,0,8.05,clear sky
123,Reftinskiy,RU,57.0901,61.6769,59.22,95,90,5.46,overcast clouds
124,Kaitangata,NZ,-46.2817,169.8464,39.04,92,57,7.07,broken clouds
125,Marsh Harbour,BS,26.5412,-77.0636,84.09,71,28,12.86,scattered clouds
126,Banjar,ID,-8.19,114.9675,72.97,90,87,2.93,overcast clouds
127,Micheldorf,AT,46.9222,14.4405,76.8,71,31,4.05,scattered clouds
128,Forchheim,DE,49.7175,11.0588,81.39,57,90,3.38,overcast clouds
129,Kawambwa,ZM,-9.7915,29.0791,67.28,34,4,3.91,clear sky
130,Boffa,GN,10.1667,-14.0333,80.51,77,62,8.72,broken clouds
131,Carballo,ES,43.213,-8.691,89.02,75,0,11.12,clear sky
132,Grand-Lahou,CI,5.1367,-5.0242,75.99,82,94,11.65,overcast clouds
133,Bayangol,RU,50.6977,103.4656,52.21,93,6,2.33,clear sky
134,Hatfield,GB,51.7634,-0.2242,79.88,57,75,13.8,broken clouds
135,Bumbuna,SL,9.05,-11.7333,77.61,90,87,3.6,light rain
136,Mahasamund,IN,21.1,82.1,82.67,70,100,7.94,overcast clouds
137,Awjilah,LY,29.1081,21.2869,91.6,24,0,18.45,clear sky
138,Sortavala,RU,61.7053,30.6918,58.24,79,92,6.93,overcast clouds
139,Katsuura,JP,35.1333,140.3,79.81,91,88,11.99,overcast clouds
140,Kapaa,US,22.0752,-159.319,79.12,84,0,11.5,clear sky
141,Morant Bay,JM,17.8815,-76.4093,94.71,70,4,16.02,clear sky
142,Georgiyevka,KZ,43.0369,74.7114,71.64,60,40,6.71,scattered clouds
143,Port-Gentil,GA,-0.7193,8.7815,76.96,78,20,16.11,few clouds
144,Puerto Ayora,EC,-0.7393,-90.3518,76.96,87,93,5.01,overcast clouds
145,Alta Floresta,BR,-9.8756,-56.0861,94.82,28,1,3.44,clear sky
146,Macapa,BR,0.0389,-51.0664,91.38,55,20,6.91,few clouds
147,Hobart,AU,-42.8794,147.3294,49.86,78,92,8.05,overcast clouds
148,Huacho,PE,-11.1067,-77.605,66.43,70,43,10.38,scattered clouds
149,Hasaki,JP,35.7333,140.8333,81.0,85,89,7.85,overcast clouds
150,Port Hardy,CA,50.6996,-127.4199,60.98,88,75,4.61,fog
151,Guerrero Negro,MX,27.9769,-114.0611,82.72,46,10,7.85,clear sky
152,Provideniya,RU,64.3833,-173.3,48.06,80,9,4.79,clear sky
153,Atherton,GB,53.5237,-2.4935,67.89,58,3,8.99,clear sky
154,Shimoda,JP,34.6667,138.95,79.11,91,69,11.43,broken clouds
155,Ballina,AU,-28.8667,153.5667,58.01,92,98,6.13,overcast clouds
156,Port Elizabeth,ZA,-33.918,25.5701,53.89,78,0,14.97,clear sky
157,Yulara,AU,-25.2406,130.9889,48.24,41,2,7.4,clear sky
158,Longyearbyen,SJ,78.2186,15.6401,49.84,76,0,4.61,clear sky
159,Upernavik,GL,72.7868,-56.1549,50.63,64,48,5.68,scattered clouds
160,Souillac,MU,-20.5167,57.5167,71.98,73,75,14.97,broken clouds
161,Elbistan,TR,38.2059,37.1983,79.79,20,0,4.76,clear sky
162,Lebu,CL,-37.6167,-73.65,51.4,75,55,4.43,broken clouds
163,Libreville,GA,0.3925,9.4537,75.9,81,32,10.54,scattered clouds
164,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,71,20,21.85,few clouds
165,Misratah,LY,32.3754,15.0925,84.13,74,0,15.23,clear sky
166,Port Macquarie,AU,-31.4333,152.9167,52.9,78,100,10.4,overcast clouds
167,Bosaso,SO,11.2842,49.1816,92.34,46,100,6.13,overcast clouds
168,Zhangzhou,CN,24.5133,117.6556,82.33,88,55,2.59,broken clouds
169,Palauig,PH,15.435,119.9045,80.51,79,100,7.67,light rain
170,Parbhani,IN,19.2667,76.7833,81.19,76,100,4.9,overcast clouds
