City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
195,Sibolga,ID,76.96,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
199,Palora,EC,80.71,scattered clouds,-1.7,-77.9333,Rancho grande
203,Kropotkin,RU,83.43,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
205,Malumfashi,NG,75.61,broken clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
211,Madang,PG,76.44,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
212,Shelburne,CA,81.75,broken clouds,44.0787,-80.2041,The Retreat at the Farm
216,Altamira,BR,88.7,broken clouds,-3.2033,-52.2064,Requinte Hotel
220,Port Blair,IN,78.84,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
222,Kadhan,PK,82.49,scattered clouds,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
226,Korla,CN,80.8,broken clouds,41.7597,86.1469,Gulisitan Hotel
230,Ahuimanu,US,80.31,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
231,Auki,SB,76.28,clear sky,-8.7676,160.7034,Auki Motel
234,Pangai,TO,77.11,few clouds,-19.8,-174.35,Ha'apai Beach Resort
242,Victoria,HK,87.85,clear sky,22.2855,114.1577,Mini Central
246,Westport,US,88.09,clear sky,41.1415,-73.3579,The Westport Inn
247,Huilong,CN,82.92,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
248,Maniago,IT,84.96,scattered clouds,46.1706,12.7078,Hotel Al Giardino
251,Iraucuba,BR,87.31,scattered clouds,-3.7461,-39.7833,Hotel Terra da Amizade
257,Hambantota,LK,78.76,light rain,6.1241,81.1185,Bungalow 63
261,Safford,US,87.12,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
262,Betamcherla,IN,85.64,overcast clouds,15.4667,78.1667,Amrutha hotels​
264,Macamic,CA,78.15,scattered clouds,48.7502,-78.9996,"Maison Tardif Enr. - Chambre à Macamic, QC"
268,Padang,ID,78.01,light rain,-0.9492,100.3543,Mercure Padang
269,Kokopo,PG,76.93,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
272,Altagracia De Orituco,VE,85.41,scattered clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
273,Ternate,ID,80.15,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
274,Meulaboh,ID,76.66,moderate rain,4.1363,96.1285,Kost Pria
280,Acarau,BR,82.98,broken clouds,-2.8856,-40.12,castelo pizzaria
281,Hirara,JP,80.58,moderate rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
284,Santa Isabel Do Rio Negro,BR,88.61,broken clouds,-0.4139,-65.0192,Hotel GSA
286,Manono,CD,84.09,clear sky,-7.3,27.4167,Hotel hewa bora
288,Shenjiamen,CN,81.37,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
289,Glenwood Springs,US,77.4,overcast clouds,39.5505,-107.3248,Glenwood Springs Cedar Lodge
292,Siderno,IT,80.74,clear sky,38.2779,16.302,Grand Hotel President
295,Gidam,IN,75.97,overcast clouds,18.9833,81.4,Dhanshree Lodge And DormItory
300,Kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
305,Riviere-Au-Renard,CA,75.49,broken clouds,48.9957,-64.3971,Auberge Le Caribou
306,Sept-Iles,CA,77.0,broken clouds,50.2001,-66.3821,Comfort Inn
312,Bogatic,RS,80.91,broken clouds,44.8375,19.4806,Hotel Bogatić
314,San Felipe,VE,84.22,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
316,Kavieng,PG,81.46,light rain,-2.5744,150.7967,Nusa Island Retreat
318,Ajdabiya,LY,80.55,clear sky,30.7554,20.2263,Almadina Hotel
320,Sinnamary,GF,83.52,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
321,Gurlan,UZ,87.71,broken clouds,41.8447,60.3919,ÒJIQ OVUL
322,Daru,PG,75.88,broken clouds,-9.0763,143.2092,Daru Lodge
323,Gamboma,CG,85.53,scattered clouds,-1.8764,15.8644,Residence N'Keni
326,Saint Anthony,US,85.84,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
331,Dossor,KZ,86.31,scattered clouds,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
332,Harper,LR,76.51,overcast clouds,4.375,-7.7169,Screensaver
338,Salou,ES,86.74,few clouds,41.0766,1.1416,Hotel Santa Monica Playa
339,Bengkulu,ID,75.7,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
345,Ormara,PK,82.09,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
346,Spencer,US,78.91,clear sky,43.1414,-95.1444,Reston Inn & Suites
348,Dakar,SN,84.33,scattered clouds,14.6937,-17.4441,Novotel Dakar
349,West Wendover,US,87.01,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
351,Presidencia Roque Saenz Pena,AR,78.3,clear sky,-26.7852,-60.4388,Hotel Gualok
353,Beyneu,KZ,88.14,clear sky,45.3167,55.2,NUR
355,Mandera,KE,84.69,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
356,Baculin,PH,76.51,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
358,Hobyo,SO,76.5,clear sky,5.3505,48.5268,Iftin hotel hobyo
360,Pitimbu,BR,82.99,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
361,San Fernando,PH,76.75,moderate rain,15.0286,120.6898,Maharlika Hostel
363,Luancheng,CN,78.96,clear sky,37.8792,114.6517,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
365,Okazaki,JP,84.7,broken clouds,34.95,137.1667,Green Hotel Rich Tokugawaen
367,Banda Aceh,ID,79.48,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
370,Condega,NI,83.57,broken clouds,13.365,-86.3985,Estancia Doña Rosario
371,Broome,US,82.02,few clouds,42.2506,-75.833,Chenango Valley State Park
373,Palembang,ID,80.69,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
374,Sabang,ID,81.39,light rain,5.8933,95.3214,Hotel Citra
375,Tuy Hoa,VN,76.98,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
378,Makat,KZ,85.35,scattered clouds,47.6469,53.3463,Umit
379,Hisar,IN,82.17,moderate rain,29.1667,75.7167,OYO 69533 Hotel Diamond Star
383,Dwarka,IN,81.18,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
384,Nishihara,JP,81.68,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
385,Shu,KZ,76.59,scattered clouds,43.5983,73.7614,Shyngyzkhan
390,Tateyama,JP,79.11,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
393,Tancanhuitz,MX,88.47,few clouds,21.6,-98.9667,Sierra Bugambilias
395,Lata,PT,89.49,clear sky,40.1629,-8.3327,Casa Maquia
398,Taos,US,78.55,clear sky,36.4072,-105.5731,El Monte Sagrado
403,Sao Joao Da Barra,BR,75.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
405,San Quintin,MX,77.38,few clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
406,Iznik,TR,80.35,clear sky,40.4286,29.7211,Hotel Zeytin Bahcesi
410,Sigli,ID,77.92,broken clouds,5.3848,95.9609,Losmen Dua Mali
411,Alappuzha,IN,79.0,overcast clouds,9.49,76.3264,Panoramic Sea Resort
413,Aloleng,PH,80.49,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
414,Luwuk,ID,76.59,moderate rain,-0.9516,122.7875,Hotel Santika Luwuk
415,Nova Granada,BR,84.45,clear sky,-20.5339,-49.3142,Granada Hotel - Nova Granada
